Date,open_interest_divergence.20,momentum.20,carry.20,retail_flow.20,foundational.20
10/09/2021,-0.013874827,0.052101787,0.0070213,0.007297677,4.79%
11/09/2021,-0.006586132,0.027270915,0.006190832,0.012018319,2.98%
12/09/2021,-0.023589555,0.028941188,0.008731749,0.032163908,3.98%
13/09/2021,0.01156166,-0.014280289,0.0026734,0.006617286,-2.16%
14/09/2021,0.005405826,0.004178651,-0.006932625,0.06761724,1.93%
15/09/2021,0.009686282,-0.018113355,0.00471818,-0.011709903,-0.57%
16/09/2021,-0.003289431,-0.003887798,0.003645378,-0.000827903,-0.33%
17/09/2021,-0.008532975,-0.019134853,0.012649715,-0.009440059,-1.99%
18/09/2021,-0.010708222,0.019492436,-0.027485451,-0.012298816,0.05%
19/09/2021,0.003845655,-0.010280727,0.020066478,0.015104913,-0.12%
20/09/2021,-0.015615612,-0.008879595,0.024505203,0.007408755,-1.36%
21/09/2021,0.001339755,-0.011952772,-0.006390305,-0.024453043,-2.31%
22/09/2021,0.00855413,-0.000929378,-0.022124033,-0.046409576,-0.34%
23/09/2021,0.007639096,0.011125677,-0.006947989,-0.003688021,0.64%
24/09/2021,0.003828156,0.002725928,0.025497306,0.01684328,1.33%
25/09/2021,0.007528087,0.003628686,-0.004844252,0.004612619,-0.26%
26/09/2021,0.063932679,-0.0052161,0.004932911,0.002230796,-0.42%
27/09/2021,-0.025332174,-0.013079047,0.000301505,-0.028701425,-1.68%
28/09/2021,0.011155074,0.009250977,0.017590629,0.01469725,1.31%
29/09/2021,0.008768114,-0.012411238,0.00251562,0.000676884,0.03%
30/09/2021,0.015890236,0.004261716,-0.010942104,0.009934782,0.68%
01/10/2021,-0.017879978,-0.024075647,-0.026804741,-0.021176572,-2.81%
02/10/2021,-0.009560086,-0.003049189,0.008785468,-0.003025125,0.16%
03/10/2021,-0.008286641,0.006262632,-0.016582991,-0.007877719,-0.57%
04/10/2021,0.003444649,-0.01480812,0.011973162,-0.001466006,-0.47%
05/10/2021,0.013729341,-0.02381403,0.005588902,0.013140003,-1.20%
06/10/2021,-0.009889998,-0.021968775,0.022168158,0.038152713,0.39%
